"	2610020H08Rik",331.4811251,-1.704045963,0.250388188,-6.805616421,1.01E-11,2.24E-09
"	Trerf1",158.5476863,2.225020489,0.327827057,6.787177693,1.14E-11,2.50E-09
"	Trib2",492.4221819,1.651189079,0.243357889,6.785023839,1.16E-11,2.50E-09
"	F2r",1103.018767,-1.197144403,0.176629846,-6.777701678,1.22E-11,2.59E-09
"	Tomm5",4327.161987,-0.762181815,0.11274316,-6.760337489,1.38E-11,2.87E-09
"	Il6ra",63.94069218,2.982100215,0.441600367,6.752938709,1.45E-11,2.98E-09
"	Tmem163",311.8242781,-2.148127174,0.323160916,-6.647236924,2.99E-11,6.04E-09
"	Prf1",838.1433595,-1.571342566,0.237763006,-6.608860602,3.87E-11,7.72E-09
"	F2rl2",1075.762148,-2.888827437,0.442241638,-6.532237556,6.48E-11,1.27E-08
"	Nupr1",37.87164348,3.807264655,0.58652962,6.491172009,8.52E-11,1.65E-08
"	Gm20559",742.237959,-1.211292475,0.186682205,-6.488526702,8.67E-11,1.65E-08
"	Klrg1",6986.939046,-2.273385067,0.351197384,-6.473240317,9.59E-11,1.80E-08
"	Cnr2",34.45945816,3.797639453,0.589572226,6.441347278,1.18E-10,2.16E-08
"	G0s2",262.317323,-2.035127041,0.315864026,-6.443047872,1.17E-10,2.16E-08
"	Entpd1",355.6450867,-2.049881943,0.319813644,-6.409613787,1.46E-10,2.63E-08
"	Cib2",49.65900996,-3.076353077,0.480229662,-6.406003878,1.49E-10,2.65E-08
"	Tacstd2",69.7490985,2.64106899,0.412748579,6.398735516,1.57E-10,2.75E-08
"	5430427O19Rik",1509.504349,-1.511060826,0.23661838,-6.386067002,1.70E-10,2.95E-08
"	Ccl3",4576.674637,-2.575125012,0.40376886,-6.377720694,1.80E-10,3.07E-08
"	4930486L24Rik",381.6588616,-1.209903577,0.191295075,-6.324802544,2.54E-10,4.28E-08
"	Il6st",138.26482,1.721519679,0.272605559,6.315057125,2.70E-10,4.50E-08
"	Ryr1",82.53073365,2.625260403,0.415902343,6.312203934,2.75E-10,4.52E-08
"	Nr4a2",284.4271696,1.730697226,0.274661801,6.301193757,2.95E-10,4.80E-08
"	Fam46c",632.9512142,1.451198701,0.230749415,6.289067723,3.19E-10,5.09E-08
"	Ms4a1",18.88335663,3.955103283,0.628976619,6.288156292,3.21E-10,5.09E-08
"	Dapl1",283.8494317,2.338595566,0.372293814,6.281585873,3.35E-10,5.23E-08
"	H2-Ab1",119.2870779,3.565326875,0.567711899,6.280169361,3.38E-10,5.23E-08
"	Junb",1138.260889,1.563057744,0.249460042,6.26576398,3.71E-10,5.67E-08
"	H2-Ob",231.3137623,2.495700298,0.400834186,6.226266086,4.78E-10,7.22E-08
"	Nsg2",198.9583713,1.951375023,0.314789563,6.198982599,5.68E-10,8.49E-08
"	Gm10522",118.1474292,-2.552296484,0.412430999,-6.188420582,6.08E-10,8.98E-08
"	E230016K23Rik",73.73758074,-3.176243138,0.517173544,-6.141542183,8.17E-10,1.19E-07
"	Wfdc17",122.6055464,3.492082765,0.571257533,6.112974552,9.78E-10,1.41E-07
