,X174_11,X174_12,X174_13,X174_14,X174_15,X174_16,X174_17,X174_18,X174_19,X174_20,X174_21,X174_22,X174_23,X174_24,X174_25,X174_26,X174_27,X174_28,X174_29,X174_30
0610040F04Rik,1.45637425,0.515755277,0.453993558,0.958321417,0,0,0.292983269,0.336562464,1.210696623,0.684151138,0.528780881,0.856746338,1.422597074,0.093361493,1.652930298,1.018094158,0.25604373,1.088420636,1.381428801,0.351720006
0610040J01Rik,0,0,0,0,2.058003176,5.815224965,2.037110167,3.510173907,21.8867045,0,1.575689549,0,1.648550883,15.57939998,3.447843071,0,0,1.62166701,0,0
1010001B22Rik,0.696917913,0.419566918,1.846618796,4.197816392,3.210484954,0.453587547,1.58894593,0.342241956,3.611306243,1.739240472,3.687113546,5.227223595,6.750815865,6.835461743,2.016988197,2.208585593,3.471526238,4.743376005,4.495169317,4.00573915
1010001N08Rik,0,0,0,0,0,0,0,0,0.878622208,0,0,0.143481862,0.066179603,0,0,0.113668842,0,0.065100374,0.115675999,0
1110002E22Rik,0.25651453,0.038607492,0.067968486,0,0,0.020868992,0,0,0.362512704,0.032008106,0.028273242,0.032066397,0.118322493,0.034943444,0,0.177824927,0,0,0.051704271,0
1110002J07Rik,0.055487095,0,0,0,0,0,0.031627108,0,0.392078703,0,0.024463333,0.110981393,0.02559454,0.151173517,0,0.02198035,0,0.176240085,0.022368478,0.091122365
1110002L01Rik,0.364020848,0.306813103,0.192908728,0.37588178,0.586925951,0.331691077,0.53946976,0.500536681,1.097479045,0.327044435,0.609864694,0.764493396,0.436571062,0.991767758,0.386295293,1.009408406,0.870374821,0.627660096,0.44024249,0.657585056
1110003F10Rik,0.128316302,0.115875789,0.169999429,0.248432336,0.184722955,0.250543179,0.292556213,0.283560654,0.483572758,0.03202284,0.16971754,0.096243472,0,0.139838113,0.092841804,0.050830508,0.127835258,0.058223257,0.025864035,0.289746051
1110004E09Rik,19.23058463,15.11497576,20.58426427,13.13305351,28.43120402,17.06075253,22.22697428,17.38847715,8.340074641,11.00773055,11.8765497,13.24096423,8.342488808,20.37519393,10.52757778,11.4873053,14.82502308,12.84637283,10.02891594,15.69649458
1110004F10Rik,157.2653614,139.6055955,163.1841727,145.524688,158.5462973,96.26269667,151.7925153,125.9820836,88.74188812,122.7007049,112.6890224,120.6003878,122.34247,134.8338914,113.5763991,129.6390118,111.8873158,128.2014164,132.2268336,129.9898509
1110006O24Rik,0.335217852,0.13454126,0.402661787,0.423060357,0.205899308,0.116360442,0.152856751,0.197542255,1.136971662,1.695459687,1.10351322,0.759876446,1.216391079,0.901117291,0.948612909,1.540379562,0.756978625,1.35879939,1.351361627,1.101007119
1110008F13Rik,1423.796784,461.1314914,835.2929883,1115.307693,632.3455179,91.14142305,434.3613875,334.5655008,958.5149279,1373.187244,1413.967843,1419.980989,1436.08811,1036.321303,1344.658798,1448.997277,1308.797836,1332.873881,1507.667186,1115.08226
1110008L16Rik,130.3494616,94.01406871,96.43453714,66.07673951,149.3767305,80.21779771,97.10225129,93.79964718,18.84688443,43.80309337,46.08891932,57.43492592,57.14976393,87.9046006,43.57690548,34.25352656,37.2867633,67.34422723,62.43290718,90.07614491
1110008P14Rik,1953.090942,2202.467329,2117.45622,2425.405027,1718.203985,564.4645032,1614.447532,1316.575228,5693.785645,4517.730806,6516.935259,5653.145517,3071.799811,6012.205857,5863.376388,4314.921853,6427.037959,5156.420599,3657.180963,6075.724284
1110012L19Rik,14.68462615,14.289913,20.79439474,18.43600587,14.08399272,8.946407236,16.46576094,13.61874726,18.05369615,23.86273974,25.62087536,23.85804759,21.71987142,22.87669407,23.17736581,23.45906977,24.12680757,25.58200715,22.98048563,22.17833371
1110019D14Rik,3.366753204,2.634961322,6.512230538,4.852548279,4.943681542,3.505990703,8.731526549,5.042695486,4.678679585,3.444872432,4.601470206,5.555503337,3.49421111,6.420857783,4.547155355,4.534535638,4.444224411,4.888503451,3.325230926,5.598082663
1110020A21Rik,0.88863205,0.67368478,1.18602199,0.651373095,0.795988005,0.89967778,1.350697839,0.517201539,1.271341041,1.708439283,0.986712795,1.119090766,1.123428063,1.614040553,1.016034983,1.303769535,1.016456325,1.403785421,1.539078042,1.891730413
1110025M09Rik,0.279325817,0.168163093,0.888153329,0.120177967,0,0.727194465,0.477639057,0.548684498,0.789500363,0.557672296,1.72410119,0,0.257689316,1.065424899,0.269470701,0.442602323,0.139139328,0.760461083,0,0.229358096
1110032A03Rik,45.48543408,18.97879436,34.1281406,39.91461698,38.63992393,11.28473058,29.00660584,31.84674743,56.85593027,38.4374954,61.35261635,73.41195011,43.62401205,60.36702886,58.21786071,35.14469805,54.96115854,71.11232525,40.84867109,69.33543417
1110032F04Rik,3.188892282,4.398122437,3.134028573,0.199563413,3.60578593,4.641536465,3.899659313,1.195853756,0.382380029,0,0.20449881,0.173950868,0.053488756,1.010976039,0.111868452,0,0.0577625,0.315698902,0.046746769,0.761728386
1110034G24Rik,9.895007495,7.771541845,12.18358517,16.77657746,6.726905903,3.732159306,9.820695283,10.63530303,17.71541524,24.84058722,23.56478998,25.49930224,30.01838921,27.0895537,23.72321874,24.21583515,22.34637249,26.57597578,26.83683174,21.81245527
1110037F02Rik,65.20643729,93.14675942,82.40137024,71.79656311,76.98498524,151.3004829,84.78043683,97.8646202,49.80171931,48.14506497,31.81039138,56.14291363,62.64721527,69.16930145,52.94884816,48.06921585,40.26489948,48.23252925,59.65043021,68.27379432
1110038B12Rik,10.51590816,8.863279205,7.168629895,5.388143713,14.39543579,14.03072591,8.146344876,6.642968006,3.692818455,2.576652551,4.004067065,3.011569149,3.108841325,4.896611826,3.596823945,1.93137629,3.309616921,3.426856007,2.466485222,5.8677053
1110038F14Rik,6.210772102,8.967842527,9.939549424,13.37135094,7.665723883,10.62907087,8.716213251,11.08200475,12.51889968,18.2291421,13.54930772,13.511162,18.87829278,21.08736644,13.91684856,16.62418412,13.48428796,16.5270122,17.19703511,19.4440535
1110046J04Rik,1.043901791,0.327893391,0.529151593,0.351494139,1.463588061,0.502180938,0.310442057,0.579504452,1.667694189,0.860841914,0.440228471,1.134749505,0.209356836,0.989248778,1.663856539,0.863009675,2.215627296,1.400410587,0.329343242,1.229840368
1110051M20Rik,6.909386367,6.159514338,7.74558885,9.146814963,9.105045509,8.864198969,6.967732392,7.634377282,8.950806702,2.453837844,7.38125686,8.17220848,3.861286481,8.326216507,6.857888054,3.210765519,7.34679528,5.667331992,4.231629838,9.655669748
1110059E24Rik,358.7020292,306.303365,303.3608181,153.1296478,392.799101,221.6882766,274.9985026,170.0703748,90.58041704,90.7317262,136.0516316,120.2666638,84.80759155,154.0893236,130.4631745,105.7552962,143.8987992,136.1385684,100.6186155,148.8910618
1110059G10Rik,62.87632277,63.34535078,64.91983184,55.65145089,69.20645886,82.97839608,71.47942366,59.98847767,80.22392561,57.09167225,73.29218631,66.8829386,51.47759635,62.76981098,68.60389872,55.97289331,78.93641018,65.11367589,51.62990976,69.2508736
1110065P20Rik,6.389400224,4.274026332,5.768724254,9.366944169,5.995812309,1.386175866,6.204712461,3.021490952,10.25590907,12.2839395,7.929276443,14.43624852,18.5566933,11.08941162,11.6430558,11.99910679,9.194534688,11.8114626,20.03364933,13.40751886
1190002N15Rik,52.43799833,66.31601387,43.7451443,34.29284126,64.44347226,118.0648752,57.15577351,51.43597551,28.94144809,29.44888721,32.93344138,30.51751251,18.03962815,38.34347472,33.81229404,21.38897213,36.46787757,22.78048541,18.76624084,31.5014438
1190007I07Rik,16.3111414,10.45769914,9.914632626,8.001438955,16.08774717,4.527709263,11.68108881,6.832515944,8.905292449,4.216762256,10.52266852,9.396942596,4.501444199,12.44302898,7.397102809,4.108790961,8.944440478,7.932511183,4.709631786,11.9852796
1300002E11Rik,51.42730577,53.66553605,59.13144267,55.94585353,49.39207622,46.17018146,55.14409847,53.81586391,88.91718411,88.29990088,86.73621311,90.33091221,77.34770711,94.90300194,85.8152104,80.84648068,99.98492385,81.74333128,74.68494639,82.20313155
1300017J02Rik,0,0.162504737,0.035761197,0,0,0.065880544,0,0,0.540412457,0.033681733,0,0.168715358,0.062254645,0.036770552,0,0.026731852,0,0.091859133,0.24483493,0.110820324
1500002C15Rik,1.453805295,0.218809345,2.311282979,0.312744749,0,0.827930334,0.621491237,1.070900514,0.856064061,2.539699255,1.121677306,0,1.005895454,2.772605082,0.525942163,1.151804742,1.448355145,1.319322313,1.904732761,1.492173273
1500004A13Rik,4.099517137,4.319071217,7.603724456,11.99376112,4.839333938,2.801570145,5.257541681,7.750773708,15.06320251,14.01623204,10.2118586,19.47397025,18.53165139,15.97174884,12.45786827,16.32079795,11.43561584,23.62387265,23.63269163,15.06359891
1500009C09Rik,0,0,0,0,0.064467569,0,0,0,0.580129517,0.167637636,0,0.055980976,0.051641353,0,0,0,0,0,0,0
1500009L16Rik,2253.730898,1591.294947,358.7441724,299.6878592,1449.107564,1129.36212,244.7556036,270.7632974,301.6261464,162.8726234,225.6436675,67.69980558,64.79577727,42.32606519,376.0842575,211.7999075,283.6887848,170.9591769,113.4035228,113.5555518
1500011B03Rik,12.622686,8.008452497,9.313493616,14.91387224,8.330934486,6.635554505,9.851354078,11.87297068,27.21544238,32.37374114,34.11853589,38.59879492,34.53171473,32.43266418,26.36861383,30.11707627,29.93904203,34.23293306,33.58459834,35.47900526
1500011K16Rik,20.72595052,15.30495677,17.62002841,10.93770668,22.93203539,20.58056706,20.77193467,14.82125991,21.85720759,11.34491089,21.69864665,28.55482431,9.820208762,45.92458573,15.49438372,9.549701857,20.897777,19.40536575,11.23287481,37.9956518
1500015A07Rik,2.379972087,2.429563446,3.399862372,1.958891942,2.14509017,3.33371694,3.184969571,2.896479805,1.998563217,2.73733467,3.193491069,2.587094083,1.909234875,2.480906679,1.896697636,3.935119097,2.26796072,3.568389769,1.835444042,3.781003122
1500026H17Rik,0.509629187,1.994285169,3.645974954,1.096321857,1.760777854,1.575532614,2.323869733,1.626744215,10.80330935,6.232013391,7.302327254,8.027180657,4.348919422,12.35742627,6.760167631,4.037633625,7.108061036,6.474809416,4.725269392,11.08927527
1520401A03Rik,0.321530756,0,0,0,0,0.156950708,0,0,1.51465083,0.080241775,0.070878769,0.482327437,0.074156268,0.35040173,0.23263993,0.063684706,0,0,0.064809246,0.132006563
1600002H07Rik,11.11146966,17.11714977,5.542021241,11.52975864,13.17315046,24.24805645,12.29430614,19.25863292,3.848775703,4.89352536,3.313935582,6.209753704,6.029869583,10.15035351,4.886802196,4.013256353,7.00002946,2.965768507,7.773006732,10.19715878
1600002K03Rik,35.70175977,27.48040634,38.70340214,40.11948164,32.85584018,40.53109779,39.39842541,43.71090244,78.02418166,61.35145337,75.03599497,66.19111983,53.08912281,76.92670396,63.37982404,55.53753246,76.33297459,70.86400332,49.42057495,79.37855693
1600010M07Rik,0.026333569,0.063414611,0.055820708,0.158617661,0,0.171391478,0.060039521,0.077591224,0.124050847,0.026287406,0.092880246,0.210682228,0.242937784,0.573962403,0.076213421,0.020863268,0,0.119488028,0,0.129737038
1600012H06Rik,29.46627329,33.3309949,30.65759677,27.68148901,28.58053906,38.39131218,26.31807262,29.36536876,25.77503292,31.78937589,27.65096789,28.98155518,21.49766624,27.63409669,29.83494307,29.12797136,30.21762947,26.59332604,27.24477136,27.25838234
1600014C10Rik,11.71954545,14.19035963,22.46995758,42.1509602,10.99481149,16.15517292,23.6427949,34.91934931,41.68502246,45.74440693,47.66367849,57.02126447,64.68829562,80.21882358,32.26672977,45.06891716,36.40429026,56.70242581,51.49166553,68.01025509
1600020E01Rik,6.658700152,7.429708386,8.381962595,6.97311693,6.094434174,5.985983042,7.145582006,6.904292751,15.38017789,15.32130021,17.94140429,16.52089721,12.33988143,19.0459147,18.08451171,15.57891351,18.88961601,13.73350669,13.16181546,18.56720945
1600023N17Rik,0.153929964,0.185341543,0.489440653,1.192091111,0.620469207,0.551017451,0.087738594,1.209469088,0.580100395,0.384150297,0.067865149,0.230909932,0.781036255,0.167751684,0.742495195,0.670746591,0.076676449,0.558763233,0.310268451,0
1700001C02Rik,0,0,0,0,0,0,0,0,1.300200267,0,0,0.138012504,0,0,0,0.10933592,0,0.12523765,0.111266567,0
1700001G11Rik,1.478976931,1.058843958,2.245386779,1.754177852,2.163647732,1.118684516,1.777140559,1.531108263,1.61937762,0.758143251,1.445097556,2.038722136,1.216911377,1.568216058,1.503920078,1.298422847,1.274319927,1.95883609,1.579174767,3.347825747
1700001G17Rik,0.080382689,0.03226197,0.028398597,0.069168173,0.246865433,0,0,0.131580913,0.631104513,0.026747258,0.165383794,0.348347593,0.296625072,0.146000721,0.258488812,0.169825882,0.160162687,0.291787836,0.10801541,0.28601422
1700001J03Rik,0.090892457,0,0,0,0,0.088735744,0,0.044635403,0.513805909,0,0,0,0.167703905,0,0,0.036005634,0,0,0,0.07463299
1700001K19Rik,0.165883466,0.099867163,0,0,0.095521718,0,0.047275987,0.040730968,0.625148358,0.082796333,0,0.041473558,0.114775634,0,0.0800154,0.065712157,0.082630794,0.075269281,0.133744996,0
1700001L05Rik,0,0.243344757,0,0,0.077585427,0.701537047,0,0.198497026,0.825115008,0.470746575,0.059402506,0,0.124298665,0,0,0,0,0,0.488841516,0.165949285
1700001O22Rik,0.282295864,0.127463368,0.112199623,0.091091857,0.1625562,0.137798749,0.160905917,0.069314827,1.82850949,2.43053352,1.929122699,4.375869878,3.515795604,2.422695301,2.519107621,1.118271186,2.179591157,2.305640995,2.276035097,1.825400119
1700007K09Rik,0.349332287,0.841236929,0.617082305,0,0,1.364173074,0.796464125,0.571832842,0.329123376,0,0,0,0,0.634499373,0,0.092255037,0,0.105672537,0,0.860523985
1700007L15Rik,3.19609953,2.025425625,4.81377818,3.850278129,2.518483249,1.970691733,2.492915411,2.511261275,5.863925174,4.500279473,6.289066471,6.998229996,3.755496797,6.452872405,3.862283296,2.558824728,5.463275663,8.67081043,5.886143747,6.353711972
1700007P06Rik,0,0,0,0,0,0,0.037519384,0,0.310083181,0,0,0,0.060725841,0,0,0.026075391,0,0,0,0
1700008H02Rik,0,0,0,0,0,0,0,0,0.721870235,0,0,0.127707402,0,0,0,0.151758057,0,0.115886419,0,0.209710838
1700008J07Rik,0.201217818,0.230165193,0.149286347,0.190459611,0.2896713,0.360146024,0.160569099,0.177865027,0.047394336,0.170735314,0.053228144,0.130800071,0.15778681,0.241214183,0.213530342,0.103622104,0.090208564,0.410859767,0.227127077,0.289139537
1700010I14Rik,1.098084947,1.939174832,4.189807353,3.023637257,1.517561165,3.621077058,2.587044319,2.588384541,4.89692023,4.384639845,4.583071809,4.246204041,4.524856572,7.818338595,3.107404785,3.71190856,7.73070969,4.318199444,3.659407795,5.890792868
1700012B07Rik,0.934676162,0,0,0,0.538220445,0.152083,0.133189097,0.114750027,0.550378152,1.166297047,0.20604155,0.584210516,0,0,0.788986721,0.370257434,0.116396521,0.424107382,0.47099427,0.383737435
1700012I11Rik,0.159660461,0,0.084610254,0,0.459691431,0.623488037,0.364019686,0.235217839,0.376060215,0,0,0,0.073646603,0.086998368,0.385068384,0.12649402,0.079530956,0.217336816,0.064363822,0
1700014D04Rik,0,0,0,0,0,0,0.198618241,0,2.298103973,0,0,0.696963146,0,0.189873937,0,0,0,0,0,0.143062113
1700016P03Rik,0.060707135,0.073095282,0.128684237,0.052237636,0.209744226,0.079022221,0.415229773,0.119248068,0,0.18180214,0,0.303555377,0.224019109,0.661581663,0,0,0,0.11018295,0,0
1700017B05Rik,22.33268503,26.88998419,10.24882583,11.5697993,24.71235528,34.91440321,12.54569136,18.45189534,14.7502072,6.527179306,11.20629158,5.065473806,6.54192045,6.122132898,12.74916006,7.442211117,14.40448284,7.521706252,6.608359253,7.524112425
1700017D01Rik,0.339050311,0.081647661,0,0,0.156189976,0,0,0,0.063887243,0,0,0.033907232,0.09383627,0.03694944,0,0,0,0.030768676,0.027336228,0
1700018B08Rik,0,0.131577238,0,0,0,0,0,0,0.61773529,0,0,0,0,0,0,0.043288624,0,0,0.088106023,0.134593912
1700018L02Rik,0.411161011,0.49506421,0.65367037,1.061394789,0.473522855,0,0.468715614,0,0.968438252,0.820880459,0,0,1.327594074,1.568280308,0.594981769,0.162875044,1.228858845,0.932817307,1.65751081,0.168804853
1700019A02Rik,0.161230286,0.097065799,0.341768661,0.208104589,0.278526746,0.472213757,0.091899707,0,0,0,0,0.241861126,0.818077882,0.175707519,0,0,0.080312926,0,0.194989994,0.066194153
1700019D03Rik,0.338515076,0.45854308,0.98665728,0.036410932,0.243661578,0.247862048,0.482375814,0.20779718,0.358798434,0.168960823,0,0.423171309,0.546514136,0.092227778,0.163285829,0.033524371,0.042155753,0.537601814,0.238814399,0.694897936
1700019O17Rik,0,0,0.037409345,0,0,0,0,0,0.731589008,0,0.031122761,0.035298209,0,0,0,0,0,0,0,0
1700020D05Rik,0.128820317,0.232661877,0.580268383,0.055424035,0.074179412,0.209606075,0.110139505,0.12652198,0.151710059,0.096445867,0.028397362,0.096621508,0.059420965,0.245677923,0.062137652,0.102060332,0.064168692,0,0.051931254,0.132220067
1700020I14Rik,957.4143409,936.4633618,895.6192852,946.2803585,839.285168,690.5160973,860.2714212,873.9914736,880.2497838,925.3381085,788.3173251,821.8212905,868.8239683,745.0147975,954.7478058,916.9907016,914.5248068,723.6435396,860.0861451,725.3405379
1700020L24Rik,2.551337255,0.970096921,0.996249062,1.386561979,0.463942912,0.611775112,1.377698783,1.055081174,3.415844055,7.64059398,5.328198766,3.491530211,6.813375035,2.048736125,5.311272708,5.532102642,2.407995078,3.168343639,5.088462377,1.323117804
1700021A07Rik,9.937533208,10.41147538,8.343981228,5.441613842,12.63385283,7.223801678,14.41821307,8.872939598,11.06494505,5.410970357,9.217783865,7.614967706,7.500906516,7.735604853,9.960435539,5.930461315,6.81447743,11.24355794,5.410851956,12.39871642
1700021F05Rik,127.3109889,136.1114727,137.9251834,136.127165,165.5801295,95.20746492,150.4940915,153.2196833,88.33464089,150.2515953,80.59944496,104.7404683,159.5404124,113.9670787,86.51797889,142.1047198,80.13016694,91.34600361,138.7990976,101.4469693
1700021F07Rik,0,0,0,0,0,0,0,0,1.512905841,0,0.141594222,0,0,0.174999021,0.309829216,0,0,0,0,0.263708963
1700022N22Rik,0.584417537,2.286947563,1.083969105,0.125720766,1.009586464,0.665642103,1.998674126,1.721972105,4.267219116,3.06281341,3.091919116,5.552326949,2.96531794,8.757288513,3.100890309,3.356864895,4.075586359,3.845084672,2.944948452,4.798729141
1700023F06Rik,0,0,0,0,0,0,0,0,0.539746104,0.057188343,0,0.229169962,0.211404799,0.062432861,0,0,0,0,0.046189574,0
1700023H06Rik,0.69991756,0.421372802,1.536641179,1.075480732,0.921229542,0.780925476,0.455938574,0.932940769,1.931179809,0.698690577,1.057995279,0.549970919,0.461215814,1.253113503,1.977439409,1.663568775,2.091880947,1.088866802,0.765855605,1.19047382
1700024P16Rik,0,0,0,0,0.47213014,0,0,0,0.965589904,0,0.36148172,0.614967482,0,0.446762205,0,0.324791999,0,0.744058981,1.652635778,0.504925103
1700025G04Rik,27.80106737,54.87958062,72.76229287,98.456248,43.1259173,69.54598757,90.11932142,119.2506571,48.2873562,89.86469087,42.85790056,76.0323432,122.1314494,67.39623066,34.48310893,81.06138439,50.4949271,36.55681914,97.13103307,55.43899502
1700025N21Rik,0,0,0,0.291464426,0,0,0,0,1.755191369,0.507190417,0.298672624,1.354970879,0.468725281,0.369135237,0,0.134178955,0,0.307387671,0,0.278128044
1700026D11Rik,0.082769348,0.597957603,0.964978943,0.854662313,0.476615937,0.808053825,0.660488213,0.975511513,2.651358502,1.81773351,1.532648148,2.731565774,2.367099783,3.066847443,1.996227431,1.311511635,0.989508666,1.727595378,2.736073961,1.69907497
1700027F09Rik,0.114624657,0.20702315,6.317380093,9.123543615,0.198015108,0.634127328,6.729499622,7.148804014,1.67390092,2.860592881,0.808577532,7.90961465,5.181547264,11.30499429,1.824578138,2.13411848,2.169703899,4.680963163,4.34360522,6.58838676
1700028E10Rik,2.163526918,3.631247081,2.848969733,3.215636801,1.963137554,3.370970483,2.914811443,4.700595067,3.767889862,4.31946834,5.087268611,4.524031709,4.294296702,4.358348138,2.656428481,1.662152845,4.637410403,3.688796642,4.175898119,4.845000988
1700028J19Rik,4.673863819,2.004361943,3.189382946,5.233841555,1.917147653,0.666734107,1.82469675,2.012263223,2.231900964,1.342179142,1.637211649,2.369098429,2.303579139,0.837294349,1.976531076,2.688448242,1.658423191,2.847042404,1.548634354,1.997743785
1700028N14Rik,0.536606671,0.807636031,0.142184315,0.346306866,0,0.261936986,0.611721244,1.317582121,0.631954894,0,1.064614113,0.268320749,0.618801583,0.730987247,0.64709278,0.212568392,0.133648748,0.365226256,0.75712669,1.101536959
1700029B22Rik,0,0,0,0,0,0,0,0,0.439732876,0.042355932,0.037413633,0.042433068,0,0,0,0,0,0,0,0.034840088
1700029I15Rik,0.484531574,0.972345118,0.513544045,0.555910133,0,0.420475131,0.368237759,0.793144741,3.347676702,1.451046512,1.139316662,0,0.595999856,1.936142119,1.090685004,1.407557446,1.12633528,0.732850677,1.432412007,1.59142095
1700029J07Rik,0.39549456,0.170071714,0.089823371,0.316009109,0.42294593,0.036772399,0.225428081,0.277455984,0.425845892,0.028200089,0.099638253,0.678034678,0.130307022,0.492579327,0.327034973,0.089525156,0.168862241,0.435818901,0.068329489,0.579903172
1700030C10Rik,0.076145087,0.183367132,0.645635635,0.327608881,0.087694208,0.123897172,0.130205894,0.149573103,0.107610129,0.152023204,0.167855483,0.304600118,0.737592556,1.244734907,0.367292761,0.150818464,0.151719257,0.276405412,0.399052179,0.312618656
1700030J22Rik,0,0.129696111,0.22832999,0.185374979,0.248105483,0.070106267,0.122793349,0.21158699,0.811871573,0,0.094979741,0,0,0,0.415659597,0.085339474,1.716983611,0,0.086846393,0.265339312
1700030K09Rik,1.065709485,1.148110682,0.891727387,2.075379188,2.002515766,1.606265761,1.214888236,1.873034447,0.845522588,2.015699219,1.137540061,1.402340334,1.966319846,1.95604539,1.731552577,1.022081864,1.564631544,2.6468738,1.808921254,1.473798825
1700030M09Rik,0,0,0.760512246,0,0,0,0,0,1.690093012,0.179072378,0,0,0.661966378,0,0,0,0,0.162792827,0,0.294593797
1700034P13Rik,0.643804077,0.387590687,0.682353366,0.083097652,0.556088618,0.272362038,0.183481054,0.158079425,0.212295979,0.064267546,0.056768492,0.386307517,0.02969676,0,0.093163427,0.051006596,0,0.233699819,0.0778609,0.052863598
1700037C18Rik,0.485093675,0.486736564,3.256218759,1.043540701,0.931115126,0.684064746,0.737329898,1.429316753,2.894529365,2.986166935,1.78224746,3.234167731,2.535937901,4.581644891,2.1839006,3.33081354,3.866200915,4.548945279,2.802962306,3.05376203
1700037H04Rik,7.781453684,6.739370675,10.27306049,21.7320843,10.21946729,7.818943028,4.980046011,12.20137825,12.86192233,40.06555916,25.39931303,29.762579,45.08730152,27.82090208,24.7596331,38.82870852,26.11294957,50.29867863,59.32654902,27.79972882
1700040L02Rik,1.057207526,0.323287777,0.729221003,0.765313435,0.4251786,0.185672726,0.535642741,0.346115149,0.15810285,0.16751654,0.103578918,0.771979406,0.185774576,2.103106457,0.259024088,0.279197553,0.618571976,0.852810198,0.405896579,0.978320249
1700041G16Rik,0.398238808,0.479505049,0.562779062,0.685357778,0.152880236,0.691181024,0.151328184,1.173400992,2.001070126,3.047811875,2.22397325,2.256833044,2.326811817,1.157326856,3.073505824,1.051707425,2.77722099,2.288867152,2.675696022,2.397993505
1700047A11Rik,0,0.465538883,0.409790579,0.831744877,0,2.264792192,0.4407617,0.379741421,0,0.192980912,0.340925894,0.193332357,0.17834531,0.421356865,0.18649914,0.612645102,0,0.350873861,0.155865788,0
1700047K16Rik,0.416381128,0,0.220656466,0.089572525,0.11988368,0.203250581,0.593333058,0.306714225,0.196146717,0.311738397,0.275363222,0.104102038,0,0.79409563,0.401690455,0,0.207410081,0.944660394,0,0.256422009
1700048O20Rik,61.06122894,67.80617068,39.33355207,23.39340404,50.1948886,52.09937462,47.22563756,45.56162262,35.98092907,20.46165261,33.10411543,21.57780638,18.31269525,22.10297227,36.42651542,21.70978099,22.78524961,30.74138422,14.09089453,27.63800564
1700052K11Rik,2.35910154,3.550636826,3.333811085,4.059947347,4.301778148,2.814929771,3.585773608,4.440939344,3.704378759,1.569977295,6.413878759,3.932091091,5.259551617,7.284303378,2.086212521,1.401782111,2.546112333,4.816968581,2.377557819,7.74835701
1700055D18Rik,0.191988406,0.809082211,1.119162907,0.165203321,0.331661669,0.249910494,0.109431538,1.319941428,0.271322783,1.341562898,0.59251136,0.480002167,0.531351111,1.150751135,1.018680907,0.836585452,1.051977648,0.871143435,0.541773161,0.709398905
1700056E22Rik,0.267018358,0.964521651,0.283006712,0.689296616,0.307517716,1.12962416,0.456593658,1.966907793,1.006285264,0.799650792,2.354478637,0.267035688,0.985340757,1.16397816,1.030389883,0.211550344,1.064069345,2.54433962,1.076429434,2.850279636
