,X174_11,X174_12,X174_13,X174_14,X174_15,X174_16,X174_17,X174_18,X174_19,X174_20,X174_21,X174_22,X174_23,X174_24,X174_25,X174_26,X174_27,X174_28,X174_29,X174_30
0610007P14Rik,704.0244862,433.3147941,457.449279,530.383522,547.8121846,220.3491919,362.9407427,330.9347098,324.238657,340.4229209,428.6175502,371.7452647,326.5811799,271.4771346,427.4387858,357.4125088,432.2533962,456.0864053,377.3986476,343.426874
0610009B22Rik,95.13647365,81.14334641,94.23301676,66.11601749,87.21458879,51.3593048,94.76885258,66.90239873,60.29844129,39.19658348,50.45491689,61.37565753,41.55379336,53.6491661,57.2039012,44.04563227,57.69506004,48.56790059,42.73144325,55.16537553
0610009L18Rik,1.465961113,1.765111141,1.305140756,2.270590031,1.14804889,1.068611807,1.470627281,0.921476028,6.850529301,7.375491778,6.308061318,12.60808384,8.709508618,9.905077083,4.9781226,6.225293847,5.84186157,9.206047386,8.131774532,11.26681845
0610009O20Rik,0.72595616,0.470668017,1.164001164,1.217315498,0.578813393,1.683992229,0.679036722,1.005518567,0.824258903,1.189224254,0.705777611,0.707387808,1.202068352,0.933141145,0.71830064,0.988082497,0.463611944,1.317604446,0.855450892,1.253321926
0610010F05Rik,25.65858494,26.00257161,21.14300933,14.01581854,29.55028825,33.87612879,21.98987671,16.8604493,8.586853079,5.992341122,6.939158021,8.016540387,6.348306235,10.01226014,8.15693756,7.046826407,7.840106525,10.86193245,6.079338756,10.78976857
0610012G03Rik,31.22474878,15.47710293,22.92701988,36.83013017,15.74258074,12.36333381,13.66202291,19.88459795,61.4995487,87.18922015,71.36039604,66.14967039,74.30917833,55.05566769,69.92016014,83.0857068,68.17159733,64.36712224,73.15934075,49.40370709
0610030E20Rik,45.83755403,60.82312371,52.68971753,58.18641541,44.325008,92.1091491,62.7656494,94.23958748,71.51475449,57.63005821,62.33566845,55.32938493,57.57441462,80.68276991,62.78512316,57.70273961,64.8373261,54.08873629,48.91675144,61.77869173
0610037L13Rik,12.79590447,11.6982103,15.0267504,14.03341761,14.44511697,8.019227355,14.32252027,13.60368389,12.61222796,12.23641824,14.21304649,15.52909636,13.96520853,17.55468113,11.38782407,12.92088597,13.52563163,15.68081919,14.50136927,16.40563936
0610038B21Rik,0.009435022,0,0.099999664,0.081187038,0.010866056,0.098252227,0,0,0.097781256,0,0.016638974,0.009435635,0.008704188,0.041128857,0.027306413,0.037375374,0.009399651,0.051373462,0,0.054230544
0610040B10Rik,9.526216081,5.433240668,9.565219665,7.118599226,8.950092948,10.11598127,13.43173718,11.32599279,9.447498345,5.505509407,5.084149374,9.276128202,5.781788168,16.6651945,7.255353226,4.170890059,10.98900392,11.83000251,8.286957823,18.93771849
